X,Y,Z,code
49.7779,40.4454,5042,031
49.9279,40.4454,6803,031
49.9362,40.4454,9845,031
49.9446,40.4454,8244,031
49.7696,40.4371,5672,031
49.7779,40.4371,5461,031
49.8029,40.4371,5402,031
49.8112,40.4371,5563,031
49.8446,40.4371,5257,031
49.9362,40.4371,8466,031
49.9446,40.4371,9382,031
49.9529,40.4371,7356,031
49.7696,40.4288,5182,031
49.7946,40.4288,5629,031
49.8029,40.4288,8233,031
49.8362,40.4288,5674,031
49.8446,40.4288,6367,031
49.8529,40.4288,6312,031
49.8612,40.4288,5895,031
49.8696,40.4288,6427,031
49.8779,40.4288,7306,031
49.8862,40.4288,7212,031
49.8946,40.4288,6783,031
49.9196,40.4288,5032,031
49.9279,40.4288,5828,031
49.9362,40.4288,6215,031
49.9446,40.4288,8683,031
49.7946,40.4204,8829,031
49.8279,40.4204,5926,031
49.8362,40.4204,7037,031
49.8446,40.4204,8006,031
49.8529,40.4204,8704,031
49.8612,40.4204,9069,031
49.8696,40.4204,8901,031
49.8779,40.4204,9677,031
49.8862,40.4204,7797,031
49.8946,40.4204,8396,031
49.9029,40.4204,8763,031
49.9112,40.4204,9038,031
49.9196,40.4204,8503,031
49.9279,40.4204,8658,031
49.9362,40.4204,8413,031
49.9446,40.4204,8418,031
49.9529,40.4204,6750,031
49.7946,40.4121,6767,031
49.8279,40.4121,8260,031
49.8362,40.4121,7188,031
49.8446,40.4121,7371,031
49.8529,40.4121,7794,031
49.8612,40.4121,8452,031
49.8696,40.4121,7894,031
49.8779,40.4121,8728,031
49.8862,40.4121,8407,031
49.9029,40.4121,9911,031
49.9112,40.4121,7597,031
49.9196,40.4121,7792,031
49.9279,40.4121,8378,031
49.9446,40.4121,9951,031
49.9529,40.4121,7096,031
49.9612,40.4121,5443,031
49.7946,40.4038,8860,031
49.8446,40.4038,8454,031
49.8529,40.4038,8555,031
49.8612,40.4038,9694,031
49.8696,40.4038,9623,031
49.8779,40.4038,8174,031
49.8862,40.4038,8197,031
49.8946,40.4038,8949,031
49.9029,40.4038,7687,031
49.9112,40.4038,7419,031
49.9196,40.4038,7905,031
49.9279,40.4038,7863,031
49.9362,40.4038,8732,031
49.9446,40.4038,8835,031
49.9529,40.4038,7571,031
49.9612,40.4038,6132,031
49.7862,40.3954,7529,031
49.7946,40.3954,9982,031
49.8529,40.3954,8865,031
49.8696,40.3954,9479,031
49.8779,40.3954,8200,031
49.8862,40.3954,8304,031
49.8946,40.3954,8459,031
49.9029,40.3954,8566,031
49.9112,40.3954,8724,031
49.9196,40.3954,9080,031
49.9279,40.3954,8131,031
49.9362,40.3954,7441,031
49.9446,40.3954,7357,031
49.9529,40.3954,9061,031
49.9612,40.3954,7555,031
49.7862,40.3871,7119,031
49.7946,40.3871,8058,031
49.8862,40.3871,9343,031
49.8946,40.3871,9272,031
49.9112,40.3871,9729,031
49.9196,40.3871,8764,031
49.9279,40.3871,7101,031
49.9362,40.3871,7709,031
49.9446,40.3871,8379,031
49.9612,40.3871,9016,031
49.9696,40.3871,5479,031
49.7862,40.3788,5689,031
49.7946,40.3788,5897,031
49.8862,40.3788,9789,031
49.8946,40.3788,8241,031
49.9029,40.3788,8560,031
49.9112,40.3788,9727,031
49.9196,40.3788,9912,031
49.9279,40.3788,8587,031
49.9362,40.3788,8162,031
49.9446,40.3788,9318,031
49.9612,40.3788,9213,031
49.7946,40.3704,5399,031
49.8029,40.3704,5680,031
49.8529,40.3704,5896,031
49.9112,40.3704,5120,031
49.9196,40.3704,7388,031
49.9279,40.3704,8944,031
49.9362,40.3704,9643,031
49.9529,40.3704,9723,031
49.9612,40.3704,9279,031
49.7946,40.3621,6656,031
49.8279,40.3621,7350,031
49.9446,40.3621,7949,031
49.9529,40.3621,7070,031
49.9612,40.3621,8658,031
49.7946,40.3538,6368,031
49.8029,40.3538,9676,031
49.8112,40.3538,9494,031
49.8196,40.3538,6003,031
49.9529,40.3538,7178,031
49.9612,40.3538,8613,031
49.9696,40.3538,6682,031
49.7862,40.3454,5937,031
49.7946,40.3454,6282,031
49.8029,40.3454,7068,031
49.8112,40.3454,6252,031
49.9612,40.3454,6546,031
49.9696,40.3454,6013,031
49.7862,40.3371,5925,031
49.8029,40.3371,6511,031
49.8112,40.3371,5990,031
49.8196,40.3371,5657,031
49.8279,40.3371,5678,031
49.8029,40.3288,5189,031
49.8196,40.3288,6299,031
