X,Y,Z,code
49.8779,40.3788,11132,031
49.9529,40.3788,10842,031
49.8112,40.3704,13837,031
49.8196,40.3704,16334,031
49.8279,40.3704,17246,031
49.8362,40.3704,19091,031
49.8446,40.3704,13620,031
49.9446,40.3704,10574,031
49.8112,40.3621,10662,031
49.8196,40.3621,11078,031
45.3946,39.2038,12193,031
45.3946,39.1954,12813,031
45.4029,39.1954,10852,031
45.4029,39.1871,13279,031
45.4112,39.1871,10994,031
50.6112,26.2704,13623,048
50.6196,26.2704,18995,048
50.6112,26.2621,15256,048
50.6196,26.2621,13133,048
50.6362,26.2621,11745,048
50.6112,26.2538,21737,048
50.6362,26.2538,21317,048
50.6446,26.2538,20767,048
50.5862,26.2371,18787,048
50.5946,26.2371,12683,048
50.5696,26.2288,18995,048
50.5779,26.2288,23929,048
50.5862,26.2288,34232,048
50.5946,26.2288,17595,048
50.5362,26.2204,19401,048
50.5446,26.2204,12365,048
50.5529,26.2204,11163,048
50.5696,26.2204,29398,048
50.5779,26.2204,37520,048
50.5862,26.2204,31933,048
50.5612,26.2121,23447,048
50.5696,26.2121,23553,048
50.5779,26.2121,27131,048
50.5862,26.2121,36966,048
50.5946,26.2121,17084,048
50.6029,26.2121,24658,048
50.6112,26.2121,15381,048
50.5862,26.2038,13605,048
50.5946,26.2038,23875,048
50.6029,26.2038,18707,048
50.6112,26.2038,10171,048
50.5362,26.1871,11284,048
50.5446,26.1871,14006,048
50.5529,26.1871,12625,048
50.5446,26.1788,15574,048
50.5529,26.1788,20381,048
50.5529,26.1704,18365,048
50.5612,26.1704,16601,048
50.5696,26.1621,14566,048
50.5779,26.1538,10097,048
50.5612,26.1371,11867,048
50.5696,26.1371,12224,048
50.5612,26.1288,13622,048
50.5696,26.1288,16967,048
50.5779,26.1288,11094,048
50.6029,26.1288,10484,048
50.5696,26.1204,10584,048
88.5529,26.3371,14716,050
88.5612,26.3371,14840,050
88.5612,26.3288,10494,050
88.4612,26.0288,12533,050
88.4696,26.0288,18688,050
88.4779,26.0288,12480,050
88.8446,25.9371,12241,050
88.6529,25.8621,10033,050
89.3279,25.8121,11075,050
89.6446,25.8121,13821,050
88.8862,25.7871,15820,050
88.8946,25.7871,15295,050
88.8946,25.7788,25450,050
88.9029,25.7788,18824,050
88.9112,25.7788,10597,050
89.2279,25.7621,11557,050
89.2362,25.7621,17490,050
89.2279,25.7538,10829,050
89.2362,25.7538,20095,050
89.2446,25.7538,15612,050
89.2529,25.7538,21319,050
89.2362,25.7454,10219,050
89.2446,25.7454,21367,050
89.2529,25.7454,29476,050
89.2612,25.7454,21536,050
89.2446,25.7371,13282,050
89.2529,25.7371,24909,050
89.2612,25.7371,15049,050
89.2529,25.7288,10147,050
89.2612,25.7288,15216,050
89.2696,25.7288,10362,050
88.6446,25.6454,12493,050
88.6279,25.6371,12153,050
88.6362,25.6371,23011,050
88.6446,25.6371,17013,050
88.6279,25.6288,19719,050
88.6362,25.6288,26115,050
88.6446,25.6288,14340,050
88.6362,25.6204,10232,050
89.5446,25.3288,13313,050
89.0279,25.1038,11853,050
91.3946,25.0704,12223,050
91.4029,25.0704,10853,050
90.0112,25.0204,13804,050
90.0196,25.0204,11300,050
90.0196,25.0121,12509,050
89.9446,24.9288,13270,050
89.9446,24.9204,11740,050
89.9529,24.9204,21401,050
91.8446,24.9121,13188,050
91.8529,24.9121,19715,050
91.8612,24.9121,19290,050
91.8696,24.9121,24792,050
91.8779,24.9121,11162,050
91.8446,24.9038,10597,050
91.8529,24.9038,19329,050
91.8612,24.9038,22221,050
91.8696,24.9038,36851,050
91.8779,24.9038,27971,050
91.8862,24.9038,18167,050
91.8529,24.8954,16212,050
91.8612,24.8954,37568,050
91.8696,24.8954,45673,050
91.8779,24.8954,40380,050
91.8862,24.8954,38223,050
91.8946,24.8954,23251,050
91.8529,24.8871,11240,050
91.8612,24.8871,24283,050
91.8696,24.8871,30749,050
91.8779,24.8871,23541,050
91.8862,24.8871,33226,050
91.8946,24.8871,12547,050
90.7279,24.8788,10516,050
91.8612,24.8788,11233,050
